Count | Text | Depth | URL
1 | Seed | 1 | https://en.wikipedia.org/wiki/Solar_eclipse
2 | 1999 solar eclipse | 1 | https://en.wikipedia.org/wiki/Solar_eclipse_of_August_11,_1999
3 | France | 2 | https://en.wikipedia.org/wiki/France
4 | French | 3 | https://en.wikipedia.org/wiki/French_language
5 | L1 | 4 | https://en.wikipedia.org/wiki/First_language
6 | Nakhchivan | 5 | https://en.wikipedia.org/wiki/Nakhchivan_(city)
7 | Coordinates | 6 | https://en.wikipedia.org/wiki/Geographic_coordinate_system
8 | Country | 6 | https://en.wikipedia.org/wiki/Countries_of_the_world
9 | Azerbaijan | 6 | https://en.wikipedia.org/wiki/Azerbaijan
10 | Autonomous republic | 6 | https://en.wikipedia.org/wiki/Administrative_divisions_of_Azerbaijan
11 | Nakhchivan | 6 | https://en.wikipedia.org/wiki/Nakhchivan_Autonomous_Republic
12 | Demonym(s) | 6 | https://en.wikipedia.org/wiki/Demonym
13 | Time zone | 6 | https://en.wikipedia.org/wiki/Time_zone
14 | GMT+4 | 6 | https://en.wikipedia.org/wiki/Greenwich_Mean_Time
15 | UTC+4 | 6 | https://en.wikipedia.org/wiki/UTC%2B4
16 | Armenian | 6 | https://en.wikipedia.org/wiki/Armenian_language
17 | Azerbaijani | 6 | https://en.wikipedia.org/wiki/Azerbaijani_language
18 | Baku | 6 | https://en.wikipedia.org/wiki/Baku
19 | ?liabad | 6 | https://en.wikipedia.org/wiki/%C6%8Fliabad,_Nakhchivan
20 | Ba?ba?? | 6 | https://en.wikipedia.org/wiki/Ba%C5%9Fba%C5%9F%C4%B1
21 | Bulqan | 6 | https://en.wikipedia.org/wiki/Bulqan
22 | Haciniyy?t | 6 | https://en.wikipedia.org/wiki/Haciniyy%C9%99t
23 | Qaraçuq | 6 | https://en.wikipedia.org/wiki/Qara%C3%A7uq
24 | Qaraxanb?yli | 6 | https://en.wikipedia.org/wiki/Qaraxanb%C9%99yli,_Nakhchivan
25 | Tumbul | 6 | https://en.wikipedia.org/wiki/Tumbul
26 | Qara?al?q | 6 | https://en.wikipedia.org/wiki/Qara%C4%9Fal%C4%B1q
27 | Da?duz | 6 | https://en.wikipedia.org/wiki/Da%C5%9Fduz
28 | Zangezur Mountains | 6 | https://en.wikipedia.org/wiki/Zangezur_Mountains
29 | President | 6 | https://en.wikipedia.org/wiki/President_of_Azerbaijan
30 | Azerbaijan Republic | 6 | https://en.wikipedia.org/wiki/Azerbaijan_Republic
31 | Babek Rayon | 6 | https://en.wikipedia.org/wiki/Babek_Rayon
32 | Tomb of Noah | 6 | https://en.wikipedia.org/wiki/Tomb_of_Noah
33 | Noah’s Mausoleum (Nakhchivan, Azerbaijan) | 6 | https://en.wikipedia.org/wiki/Noah%E2%80%99s_Mausoleum_(Nakhchivan,_Azerbaijan)
34 | Armenian | 6 | https://en.wikipedia.org/wiki/Armenia
35 | Artaxides | 6 | https://en.wikipedia.org/wiki/Artaxiad_Dynasty
36 | Arshakides | 6 | https://en.wikipedia.org/wiki/Arsacid_dynasty_of_Armenia
37 | Bagratides | 6 | https://en.wikipedia.org/wiki/Bagratuni_Dynasty
38 | Ptolemy | 6 | https://en.wikipedia.org/wiki/Ptolemy
39 | Strabo | 6 | https://en.wikipedia.org/wiki/Strabo
